"TYPE","UPDATE","SIZE1","SIZE2","INTRARATE1","INTRARATE2","INTERRATE1","INTERRATE2","CONTRARIAN1","CONTRARIAN2","PREM","POSTM","TIME","DELAY","CURRENT_MICRO_H","CURRENT_MACRO_H","NEXT_MICRO_H","NEXT_MACRO_H","MICRO_I","MACRO_I","CURRENT_I","NEXT_I"
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2|3|4|5|6|7|8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.085729996689515,2.62992750414332,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2|3|4-5|6|7|8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.08133774489114,2.13774000414332,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2|3-4|5-6|7|8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.078358155926674,1.83344459462973,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2-3|4-5|6-7|8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.077014715153656,1.72463489512893,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-2|3-4|5-6|7-8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.076615667556985,1.70654317170031,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2-3|4-6|7-8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.068191602615076,1.33533546899511,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-2|3-5|6-7|8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.068191602615076,1.33533546899511,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-2|3-5|6-8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.06575682030371,1.24335867316778,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-2|3-6|7-8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.052786077070581,0.886230671700308,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-1|2-6|7-9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.037379409445849,0.572068403541761,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-1|2-7|8-9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.020742359625419,0.277039651319037,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-3|4-6|7-8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.06575682030371,1.24335867316778,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-7|8-9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.012462104130573,0.159137999336576,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-8|9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.00390625,0.040780756253872,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.001955882109149,0.020393135236085,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-2|3-6|7-9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0.051543943604021,0.859080434810514,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-9|","AGENT1_MS",0,0,NA,NA,NA,NA,NA,0,0,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2|3|4|5|6|7|8|9|","MACRO_MS",0,0,NA,NA,NA,NA,NA,2.62992750414332,2.62992750414332,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-5|6-9|","MACRO_MS",0,0,NA,NA,NA,NA,NA,0.836977745842471,0.836977745842471,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-9|","MACRO_MS",0,0,NA,NA,NA,NA,NA,0,0,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2|3|4|5|6|7|8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.085729996689515,2.62992750414332,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2|3|4-5|6|7|8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.08133774489114,2.13774000414332,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2|3-4|5-6|7|8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.078358155926674,1.83344459462973,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2-3|4-5|6-7|8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.077014715153657,1.72463489512893,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-2|3-4|5-6|7-8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.076615667556986,1.70654317170031,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-2|3-5|6-7|8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.068191602615076,1.33533546899511,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-2|3-5|6-8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.06575682030371,1.24335867316778,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-2|3-6|7-8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.052786077070581,0.886230671700308,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-1|2-6|7-9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.037379409445849,0.572068403541761,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-1|2-7|8-9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.020742359625419,0.277039651319037,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-7|8-9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.012462104130573,0.159137999336576,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1-8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.00390625,0.040780756253872,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-2|3-6|7-9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.051543943604021,0.859080434810514,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-8|9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0.001955882109149,0.020393135236085,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0-9|","AGENT1_MS",0,1,NA,NA,NA,NA,NA,0,0,NA
"COMPACT_MODEL","EDGES",9,0,1,0,0,0,0,0,"MACRO_MS_|0|1|2|3|4|5|6|7|8|9|","MACRO_MS",0,1,NA,NA,NA,NA,NA,1.29157564631248,2.62992750414332,NA
