"TYPE","UPDATE","SIZE1","SIZE2","INTRARATE1","INTRARATE2","INTERRATE1","INTERRATE2","CONTRARIAN1","CONTRARIAN2","PREM","POSTM","TIME","DELAY","CURRENT_MICRO_H","CURRENT_MACRO_H","NEXT_MICRO_H","NEXT_MACRO_H","MICRO_I","MACRO_I","CURRENT_I","NEXT_I"
"RING","EDGES",7,0,0,0,0,0,0,0,"AGENT1_MS","AGENT1_MS",0,0,7,1,7,1,7,1,1,1
"RING","EDGES",7,0,0,0,0,0,0,0,"EMPTY","AGENT1_MS",0,0,7,0,7,1,7,0,0,1
"RING","EDGES",7,0,0,0,0,0,0,0,"MICRO_MS","AGENT1_MS",0,0,7,7,7,1,7,1,7,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD1_MS","AGENT1_MS",0,0,7,1.81127812445913,7,1,7,0.311278124459133,1.81127812445913,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD2_MS","AGENT1_MS",0,0,7,2.1981924110431,7,1,7,0.167553348813532,2.19819241104309,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD3_MS","AGENT1_MS",0,0,7,2.44663975115889,7,1,7,0.113277716387901,2.44663975115889,1
"RING","EDGES",7,0,0,0,0,0,0,0,"AGENT1_MS","AGENT1_MS",0,1,7,1,6.88827011405182,1,4.79045759599708,0.628767673359127,1,1
"RING","EDGES",7,0,0,0,0,0,0,0,"EMPTY","AGENT1_MS",0,1,7,0,6.88827011405182,1,4.79045759599708,2e-15,0,1
"RING","EDGES",7,0,0,0,0,0,0,0,"MICRO_MS","AGENT1_MS",0,1,7,7,6.88827011405182,1,4.79045759599708,0.66646564203398,7,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD1_MS","AGENT1_MS",0,1,7,1.81127812445913,6.88827011405182,1,4.79045759599708,0.311278124459131,1.81127812445913,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD2_MS","AGENT1_MS",0,1,7,2.1981924110431,6.88827011405182,1,4.79045759599708,0.16755334881353,2.19819241104309,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD3_MS","AGENT1_MS",0,1,7,2.44663975115889,6.88827011405182,1,4.79045759599708,0.113277716387903,2.44663975115889,1
"RING","EDGES",7,0,0,0,0,0,0,0,"AGENT1_MS","AGENT1_MS",0,2,7,1,6.6773136735576,1,3.49139024949435,0.449316608894265,1,1
"RING","EDGES",7,0,0,0,0,0,0,0,"EMPTY","AGENT1_MS",0,2,7,0,6.6773136735576,1,3.49139024949435,-1e-15,0,1
"RING","EDGES",7,0,0,0,0,0,0,0,"MICRO_MS","AGENT1_MS",0,2,7,7,6.6773136735576,1,3.49139024949435,0.510985490378749,7,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD1_MS","AGENT1_MS",0,2,7,1.81127812445913,6.6773136735576,1,3.49139024949435,0.298461539733279,1.81127812445913,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD2_MS","AGENT1_MS",0,2,7,2.1981924110431,6.6773136735576,1,3.49139024949435,0.167553348813532,2.19819241104309,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD3_MS","AGENT1_MS",0,2,7,2.44663975115889,6.6773136735576,1,3.49139024949435,0.113277716387898,2.44663975115889,1
"RING","EDGES",7,0,0,0,0,0,0,0,"AGENT1_MS","AGENT1_MS",0,3,7,1,6.44638398425502,1,2.66404966535858,0.337714014735879,1,1
"RING","EDGES",7,0,0,0,0,0,0,0,"EMPTY","AGENT1_MS",0,3,7,0,6.44638398425502,1,2.66404966535858,5e-15,0,1
"RING","EDGES",7,0,0,0,0,0,0,0,"MICRO_MS","AGENT1_MS",0,3,7,7,6.44638398425502,1,2.66404966535858,0.416042458805504,7,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD1_MS","AGENT1_MS",0,3,7,1.81127812445913,6.44638398425502,1,2.66404966535858,0.282183172019784,1.81127812445913,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD2_MS","AGENT1_MS",0,3,7,2.1981924110431,6.44638398425502,1,2.66404966535858,0.167097102750398,2.19819241104309,1
"RING","EDGES",7,0,0,0,0,0,0,0,"NEIGHBORHOOD3_MS","AGENT1_MS",0,3,7,2.44663975115889,6.44638398425502,1,2.66404966535858,0.113277716387903,2.44663975115889,1
"RING","EDGES",7,0,0,0,0,0,0,0,"AGENT1_MS","AGENT1_MS",0,4,7,1,6.22312925995622,1,2.10734889915863,0.263238635374324,1,1
"RING","EDGES",7,0,0,0,0,0,0,0,"EMPTY","AGENT1_MS",0,4,7,0,6.22312925995622,1,2.10734889915863,-2.7e-14,0,1
